subject,chapter_no,chapter_name_en,chapter_name_bn,freq_last_5yrs,consecutive_appearances,marks_variance,trend_slope,mcq_to_cq_ratio,mcq_share,cq_share,avg_marks_odd_years,avg_marks_even_years,parity_bias
Chemistry,5,Chemical Bond,রাসায়নিক বন্ধন,5,10,27.388124999999995,0.3303030303030303,2.819277108433735,0.1096018735362997,0.1367380560131795,14.95,11.65,3.3
Chemistry,6,Concept of Mole and Chemical Counting,মোলের ধারণা ও রাসায়নিক গণনা,5,10,19.090000000000003,0.056060606060606,2.805555555555556,0.0946135831381733,0.1186161449752883,10.8,12.25,-1.45
Chemistry,7,Chemical Reactions,রাসায়নিক বিক্রিয়া,4,3,21.2725,-0.0257575757575757,2.7222222222222223,0.0918032786885245,0.1186161449752883,10.825,12.075,-1.25
Chemistry,8,Chemistry and Energy,রসায়ন ও শক্তি,2,1,27.80375,-0.987878787878788,2.571428571428572,0.0590163934426229,0.0807248764415156,6.15,9.25,-3.1
Chemistry,9,Acid-Base Balance,এসিড-ক্ষার সমতা,2,1,19.338125,-0.4545454545454545,4.0,0.05807962529274,0.0510708401976935,4.225,6.625,-2.4
Chemistry,10,Mineral Resources: Metals and Non-metals,খনিজ সম্পদ: ধাতু-অধাতু,3,1,22.00078125,-0.3977272727272727,2.738095238095238,0.0538641686182669,0.0691927512355848,5.65,7.725,-2.075
Chemistry,11,Mineral Resources: Fossils,খনিজ সম্পদ: জীবাশ্ম,5,10,21.04703125,0.5477272727272727,2.756521739130435,0.1484777517564403,0.1894563426688632,19.15,17.525,1.625
Chemistry,12,Chemistry in Our Life,আমাদের জীবনে রসায়ন,2,1,22.144375,-0.646969696969697,2.864864864864865,0.0496487119437939,0.0609555189456342,5.725,6.175,-0.45
Higher Math,1,Sets and Functions,সেট ও ফাংশন,2,1,20.15375,-1.2484848484848483,4.620689655172414,0.0650846516791562,0.0474520804114072,5.1,5.5,-0.4
Higher Math,2,Algebraic Expressions,বীজগাণিতিক রাশি,4,3,15.01890625,0.2704545454545455,2.8035714285714284,0.076255897862892,0.0916316035530621,6.7,11.225,-4.525
Higher Math,3,Geometry,জ্যামিতি,4,3,12.71625,-0.1196969696969697,2.707692307692308,0.0854843186233694,0.1063581112669471,9.5,11.15,-1.65
Higher Math,4,Geometric Drawing,জ্যামিতিক অঙ্কন,2,1,1.975625,-0.1954545454545454,4.25,0.0165140160976963,0.0130902290790088,1.2,1.65,-0.45
Higher Math,5,Equations,সমীকরণ,2,1,1.75625,-0.2545454545454546,33.333333333333336,0.0485706355814599,0.0049088359046283,1.875,1.375,0.5
Higher Math,6,Inequality,অসমতা,2,1,0.5912499999999999,-0.1378787878787878,64.0,0.0310852067721343,0.0016362786348761,1.0,0.85,0.15
Higher Math,7,Infinite Series,অসীম ধারা,5,10,13.69,0.546969696969697,3.95,0.0767416042187066,0.0654511453950444,8.6,5.35,3.25
Higher Math,8,Trigonometry,ত্রিকোণমিতি,5,10,18.084531250000005,0.3053030303030303,3.261363636363636,0.1393977241187899,0.1439925198690977,15.8,13.375,2.425
Higher Math,9,Exponential and Logarithmic Functions,সূচকীয় ও লগারিদমীয় ফাংশন,5,10,34.660000000000004,0.9424242424242424,2.949152542372881,0.0845129059117402,0.0965404394576905,10.45,8.65,1.8
Higher Math,10,Binomial Expansion,দ্বিপদী বিস্তার,4,3,13.07640625,0.4265151515151515,3.232558139534884,0.0675131834582292,0.0703599812996727,5.275,8.95,-3.675
Higher Math,11,Coordinate Geometry,স্থানাঙ্ক জ্যামিতি,5,10,96.79625,2.127272727272728,2.7555555555555555,0.1204551762420205,0.1472650771388499,16.7,12.0,4.7
Higher Math,12,Vector,ভেক্টর,3,1,20.17875,-0.6136363636363636,1.853658536585366,0.0369136830419095,0.0670874240299205,4.5,7.65,-3.15
Higher Math,13,Solid Geometry,ঘন জ্যামিতি,2,1,6.677606889863383,-0.2791505791505791,8.1,0.06744379683597,0.0280504908835904,2.631,4.6,-1.969
Higher Math,14,Probability,সম্ভাবনা,4,3,14.081406249999995,-0.271969696969697,2.436619718309859,0.0840271995559256,0.1161757830762038,9.825,12.25,-2.425
Math,1,Real Numbers,বাস্তব সংখ্যা,2,1,0.8402777777777778,-0.2171875,86.0,0.039485766758494,0.0013003901170351,1.219,1.425,-0.206
Math,2,Sets and Functions,সেট ও ফাংশন,4,9,3.9760802469135808,0.0458333333333333,3.092592592592593,0.0766758494031221,0.0702210663198959,9.875,9.775,0.1
Math,3,Algebraic Expressions,বীজগাণিতিক রাশি,4,9,10.636959876543209,-0.0411458333333333,3.851851851851852,0.0955004591368227,0.0702210663198959,12.031,9.075,2.956
Math,4,Exponents and Logarithms,সূচক ও লগারিদম,4,9,6.612654320987655,-0.0817708333333333,7.32,0.0840220385674931,0.0325097529258777,5.594,6.35,-0.756
Math,5,Equations in One Variable,এক চলক বিশিষ্ট সমীকরণ,2,1,0.9583333333333334,-0.18125,26.0,0.0358126721763085,0.0039011703511053,1.75,1.3,0.45
Math,6,"Lines, Angles and Triangles","রেখা, কোণ ও ত্রিভুজ",2,1,10.371913580246916,-0.6317708333333334,3.1724137931034484,0.0422405876951331,0.0377113133940182,4.594,5.875,-1.281
Math,7,Practical Geometry,ব্যবহারিক জ্যামিতি,4,9,4.652006172839506,0.2510416666666667,1.0638297872340423,0.0229568411386593,0.0611183355006502,5.562,8.55,-2.988
Math,8,Circle,বৃত্ত,4,9,24.778163580246915,0.6994791666666668,1.7433628318584071,0.0904499540863177,0.1469440832249675,19.344,17.7,1.644
Math,9,Trigonometric Ratio,ত্রিকোণমিতিক অনুপাত,4,9,23.528163580246915,1.2885416666666667,2.425,0.0890725436179981,0.1040312093628088,13.438,14.1,-0.662
Math,10,Distance and Elevation,দূরত্ব ও উচ্চতা,3,2,17.13001543209877,-0.2114583333333333,1.5106382978723405,0.0325987144168962,0.0611183355006502,7.75,7.325,0.425
Math,11,Algebraic Ratio and Proportion,বীজগাণিতিক অনুপাত ও অনুপাত,2,1,13.989583333333334,-0.1171875,3.8260869565217392,0.0404040404040404,0.0299089726918075,4.156,4.625,-0.469
Math,12,Simple Simultaneous Equations in Two Variables,দুই চলক বিশিষ্ট সরল সহসমীকরণ,2,1,1.9726080246913584,-0.2026041666666666,10.0,0.032139577594123,0.0091027308192457,1.531,2.275,-0.744
Math,13,Finite Series,সসীম ধারা,4,9,1.7430555555555556,0.1046875,2.673469387755102,0.0601469237832874,0.0637191157347204,8.219,8.95,-0.731
Math,14,"Ratio, Similarity and Symmetry","অনুপাত, সদৃশতা ও অনুপাত সমতা",3,2,1.5941358024691357,-0.1317708333333333,10.75,0.039485766758494,0.0104031209362808,2.844,1.875,0.969
Math,15,Area Related Theorems and Constructions,ক্ষেত্রফল সম্পর্কিত উপপাদ্য ও সম্পাদ্য,2,1,11.31597222222222,-0.3890625,1.1428571428571428,0.0146923783287419,0.036410923276983,3.031,5.375,-2.344
Math,16,Mensuration,পরিমিতি,4,9,2.3719135802469133,0.0927083333333333,3.753424657534248,0.1258034894398531,0.094928478543563,14.125,13.8,0.325
Math,17,Statistics,পরিসংখ্যান,4,9,17.41242283950617,1.0270833333333338,1.3359375,0.0785123966942148,0.1664499349804941,19.938,20.325,-0.387
Physics,1,Physical Quantities and Measurements,ভৌত রাশি ও পরিমাপ,5,6,21.77828125,1.2053030303030303,5.137931034482759,0.0759429153924566,0.0493197278911564,6.275,4.65,1.625
Physics,2,Motion,গতি,5,6,31.378750000000004,0.9954545454545456,2.9846153846153847,0.0988786952089704,0.1105442176870748,12.575,8.525,4.05
Physics,3,Force,বল,4,3,14.08890625,0.4704545454545454,4.735294117647059,0.082059123343527,0.0578231292517006,5.7,6.825,-1.125
Physics,4,"Work, Power and Energy","কাজ, ক্ষমতা ও শক্তি",5,10,18.273281250000004,0.1659090909090909,3.074074074074074,0.1269113149847094,0.1377551020408163,14.65,11.825,2.825
Physics,5,State of Matter and Pressure,পদার্থের অবস্থা ও চাপ,4,3,14.82828125,0.184090909090909,2.706896551724138,0.0800203873598369,0.0986394557823129,8.175,10.25,-2.075
Physics,6,Effect of Heat on Matter,বস্তুর উপর তাপের প্রভাব,2,1,19.46953125,-0.5992424242424244,2.875,0.0586136595310907,0.0680272108843537,5.425,7.45,-2.025
Physics,7,Waves and Sound,তরঙ্গ ও শব্দ,4,3,12.893125,-0.1651515151515151,2.3666666666666667,0.0723751274209989,0.1020408163265306,8.85,9.7,-0.85
Physics,8,Reflection of Light,আলোর প্রতিফলন,5,10,30.83375,1.0030303030303032,4.177777777777778,0.0958205912334352,0.0765306122448979,8.125,7.825,0.3
Physics,9,Refraction of Light,আলোর প্রতিসরণ,2,1,29.0475,-0.9333333333333332,2.952380952380953,0.0632008154943934,0.0714285714285714,6.9,6.7,0.2
Physics,10,Static Electricity,স্থির বিদ্যুৎ,2,1,8.771249999999998,-0.4045454545454545,4.6,0.0468909276248725,0.0340136054421768,3.775,3.525,0.25
Physics,11,Current Electricity,চল বিদ্যুৎ,5,10,18.574375,0.4121212121212121,2.814814814814815,0.1162079510703364,0.1377551020408163,14.025,11.925,2.1
Physics,12,Magnetic Effect of Current,বিদ্যুতের চৌম্বক ক্রিয়া,2,1,14.511875,-0.1590909090909091,2.4285714285714284,0.0346585117227319,0.0476190476190476,2.975,5.725,-2.75
Physics,13, Radioactivity and Electronics,তেজস্ক্রিয়তা ও ইলেকট্রনিক্স,2,1,2.26953125,-0.2371212121212121,19.0,0.0484199796126401,0.0085034013605442,1.425,2.2,-0.775
